"ID","Description","ONTOLOGY","Count","p.adjust","geneID"
"GO:2000811","negative regulation of anoikis","BP",4,0.00941924899936058,"J3KQ48/P05556/P08648/Q03135"
"GO:2000209","regulation of anoikis","BP",4,0.00941924899936058,"J3KQ48/P05556/P08648/Q03135"
"GO:0045454","cell redox homeostasis","BP",5,0.00941924899936058,"P13667/P30101/P48506/Q96HE7/Q9BS26"
"GO:0006099","tricarboxylic acid cycle","BP",4,0.00941924899936058,"O75874/P10515/P40926/Q99798"
"GO:0006575","cellular modified amino acid metabolic process","BP",7,0.00941924899936058,"O75874/P12277/P47712/P48506/P49189/P51649/Q96HE7"
"GO:0006101","citrate metabolic process","BP",4,0.00970651541693643,"O75874/P10515/P40926/Q99798"
"GO:0022617","extracellular matrix disassembly","BP",5,0.00970651541693643,"P07711/P16035/P50281/Q07954/Q7Z460"
"GO:0043276","anoikis","BP",4,0.00970651541693643,"J3KQ48/P05556/P08648/Q03135"
"GO:0033631","cell-cell adhesion mediated by integrin","BP",3,0.00970651541693643,"O00592/P05556/P08648"
"GO:0005178","integrin binding","MF",6,0.00970651541693643,"O43854/P05161/P08648/P16035/P20908/P50281"
"GO:0072350","tricarboxylic acid metabolic process","BP",4,0.00970651541693643,"O75874/P10515/P40926/Q99798"
"GO:0016999","antibiotic metabolic process","BP",6,0.00970651541693643,"O75874/P10515/P40926/P51649/Q04828/Q99798"
"GO:0035313","wound healing, spreading of epidermal cells","BP",3,0.0097605437886277,"P08648/P20908/Q7Z460"
"GO:1901888","regulation of cell junction assembly","BP",5,0.0233682353505779,"P17302/P50281/Q03135/Q07954/Q7Z460"
"GO:0016616","oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","MF",5,0.024568626948907,"O60701/O75874/P40926/Q04828/Q53GQ0"
"GO:0001968","fibronectin binding","MF",3,0.0266214088607383,"P05556/P07711/Q53GQ0"
"GO:0030175","filopodium","CC",5,0.0266214088607383,"O00592/P05556/P26038/Q13509/Q9Y4F1"
"GO:0042470","melanosome","CC",5,0.0266214088607383,"O43852/P05556/P13667/P30101/P50281"
"GO:0048770","pigment granule","CC",5,0.0266214088607383,"O43852/P05556/P13667/P30101/P50281"
"GO:0016614","oxidoreductase activity, acting on CH-OH group of donors","MF",5,0.027721905459738,"O60701/O75874/P40926/Q04828/Q53GQ0"
"GO:0015980","energy derivation by oxidation of organic compounds","BP",7,0.027721905459738,"O75874/P10515/P11216/P13807/P40926/P51649/Q99798"
"GO:0007369","gastrulation","BP",6,0.027721905459738,"O60701/P05556/P08648/P20908/P50281/Q7Z460"
"GO:0006102","isocitrate metabolic process","BP",2,0.027721905459738,"O75874/Q99798"
"GO:0009060","aerobic respiration","BP",4,0.0422871149282843,"O75874/P10515/P40926/Q99798"
"GO:0030574","collagen catabolic process","BP",3,0.0446157950531258,"P05556/P07711/P50281"
"GO:0016620","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","MF",3,0.0446157950531258,"P10515/P49189/P51649"
"GO:0010810","regulation of cell-substrate adhesion","BP",6,0.0446157950531258,"O43854/P08648/P50281/Q07954/Q53GQ0/Q7Z460"
"GO:0044319","wound healing, spreading of cells","BP",3,0.0446157950531258,"P08648/P20908/Q7Z460"
"GO:0090505","epiboly involved in wound healing","BP",3,0.0446157950531258,"P08648/P20908/Q7Z460"
"GO:0090504","epiboly","BP",3,0.0451016402475268,"P08648/P20908/Q7Z460"
"GO:0098858","actin-based cell projection","CC",6,0.0451016402475268,"A0A0A0MRM8/O00592/P05556/P26038/Q13509/Q9Y4F1"
"GO:0003756","protein disulfide isomerase activity","MF",2,0.0510035140477858,"P13667/Q9BS26"
"GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds","MF",2,0.0510035140477858,"P13667/Q9BS26"
"GO:0034329","cell junction assembly","BP",6,0.0561787347467983,"P08648/P17302/P50281/Q03135/Q07954/Q7Z460"
"GO:0015037","peptide disulfide oxidoreductase activity","MF",2,0.0611066898501985,"P13667/P30101"
"GO:0016903","oxidoreductase activity, acting on the aldehyde or oxo group of donors","MF",3,0.0620974416141677,"P10515/P49189/P51649"
"GO:0043394","proteoglycan binding","MF",3,0.0662049757451064,"P07711/P20908/Q07954"
"GO:0032963","collagen metabolic process","BP",4,0.0662049757451064,"P05556/P07711/P20908/P50281"
"GO:0070006","metalloaminopeptidase activity","MF",2,0.0669377529471283,"P50281/Q9NQH7"
"GO:0043648","dicarboxylic acid metabolic process","BP",4,0.0669377529471283,"O75874/P40926/P48506/P51649"
"GO:0042555","MCM complex","CC",2,0.0710728038992319,"P25205/P33992"
"GO:0016667","oxidoreductase activity, acting on a sulfur group of donors","MF",3,0.0710728038992319,"P13667/P30101/Q96HE7"
"GO:1903076","regulation of protein localization to plasma membrane","BP",4,0.0728939541754685,"P05556/P17931/P50281/Q07954"
"GO:1990791","dorsal root ganglion development","BP",2,0.0728939541754685,"A0A024R412/Q13509"
"GO:0045333","cellular respiration","BP",5,0.079099650639807,"O75874/P10515/P40926/P51649/Q99798"
"GO:0006681","galactosylceramide metabolic process","BP",2,0.079099650639807,"P07602/P51649"
"GO:0016264","gap junction assembly","BP",2,0.079099650639807,"P17302/Q03135"
"GO:0035987","endodermal cell differentiation","BP",3,0.079099650639807,"P08648/P20908/P50281"
